Year,Month,Value
1969,11,0.58
1969,12,1.13
1970,1,1.06
1970,2,1.01
1970,3,1.2
1970,4,0.31
1970,5,-0.89
1970,6,-0.12
1970,7,-0.92
1970,8,-1.79
1970,9,-1.68
1970,10,-1.2
1970,11,-0.92
1970,12,-0.91
1971,1,-1.34
1971,2,-1.45
1971,3,-1.55
1971,4,-1.7
1971,5,-1.75
1971,6,-1.86
1971,7,-2.25
1971,8,-0.32
1971,9,-0.17
1971,10,-0.35
1971,11,-1.28
1971,12,-1.77
1972,1,-2.12
1972,2,-1.95
1972,3,-1.53
1972,4,-1.7
1972,5,-2.16
1972,6,-1.84
1972,7,-1.48
1972,8,-0.11
1972,9,-0.2
1972,10,-0.22
1972,11,-0.05
1972,12,-0.37
1973,1,-0.15
1973,2,-0.55
1973,3,-0.88
1973,4,-1.35
1973,5,-1.59
1973,6,-1.44
1973,7,-1.4
1973,8,-1.56
1973,9,-1.05
1973,10,-1.36
1973,11,-1.42
1973,12,-0.89
1974,1,-0.86
1974,2,-1.38
1974,3,-1.21
1974,4,-0.62
1974,5,-0.72
1974,6,-0.37
1974,7,0.02
1974,8,-0.27
1974,9,0.71
1974,10,0.19
